id,질문,본문
1,서울형 키즈카페 오전 '단체' 이용을 '공용' 회차로 변경 요청한 것,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 서울형 키즈카페 오전 '단체' 이용을 '공용' 회차로 변경 요청한 것으로 판단됩니다. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. 현재 서울형 키즈카페는 시설별 이용 현황 및 시설 여건 등을 고려하여 회차별 운영을 단체, 개인, 공용으로 구분하여 운영하고 있습니다. 귀하께서는 거의 모든 곳이 오전타임은 단체만 예약을 받는다고 하셨는데, 현재 서울형 키즈카페는 오전 회차를 단체보다‘공용’으로 운영하는 경우가 더 많으며, 요일·회차별로 공용, 단체, 개인 회차를 혼합하여 운영하는 경우도 있음을 알려드립니다. 또한, 귀하께서 요청하신 것처럼 단체 예약인원이 미달되는 경우는 개인도 신청 가능하도록 '공용'회차로 변경하거나, 이용일 당일 개인 현장 이용할 수 있도록 운영 개선하고자 하며, 자치구에 단체이용 회차 개선 운영 협조 요청한 상태로 시설별로 기존 예약 신청건, 시설별 상황 등을 고려하여 점진적으로 공용 회차로 변경 운영될 예정입니다. 추가적인 문의사항이 있으실 경우 서울특별시 여성가족실 아이돌봄담당관 키즈카페조성팀(☎ 02-2133-4812)으로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
2,기후동행카드 다자녀할인 시행일 관련 문의,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 기후동행카드 다자녀 부모 할인 도입 시기에 관한 것으로 판단됩니다. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. 기후동행카드 다자녀 부모 및 저소득층 할인은 30일권에 한해 적용되며, 2자녀부모의 경우 5만 원대, 3자녀 부모 및 저소득층의 경우 4만 원대의 가격으로기후동행카드를 이용할 수 있게 됩니다. 2025년 하반기 도입을 목표로 관련 시스템 개선 및 행정절차를 진행하고 있으며,정확한 도입 시기, 다자녀 부모 인증 절차 등 상세내용은 확정되는 대로 보도자료 및 서울시 누리집 등을 통해 안내해드릴 예정입니다. 서울시는 가능한 한 빠른 시일 내에 다자녀 부모 및 저소득층 할인이 도입될 수 있도록 더욱 노력해나가겠습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 교통실 교통기획관 교통정책과(☎ 02-2133-2228)에게 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
3,한강 방사능 수치 검사 요청,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 북한이 방류한 핵폐수가 예성강을 통해 서해 및 한강 하류로 유입되어 한강 하류가 방사능 오염이 되는 것에 대한 우려를 나타낸 것으로 판단됩니다. 환경부는 한강수계 30개소에서 매년 정기적으로 세슘 등 방사능 물질 농도를 측정하고 있으며, 측정 결과 방사능 물질 농도가 WHO 음용수 권고기준(10Bq/L 이하)을 초과하는 지점에 대해서는 추가 조사를 하도록 되어 있습니다. 최근 5년간 측정 결과 한강에서 세슘이 검출된 적은 없으며, 일부 지점에서 북한 핵폐수와 관련이 없는 요오드-131만 극소량이 검출되고 있어 우려하시는 북한 핵폐수로 인한 한강의 방사능 오염은 확인되지 않음을 알려드립니다. 이와 관련된 한강의 방사능 물질 측정 결과는 환경부 물환경정보시스템(Http://water.nier.go.kr)에서 확인하실 수 있습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 물순환안전국 물재생시설과(☎ 02-2133-3769)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
4,구청사 1층 다회용기 수거함 안내 오류 시정,"안녕하십니까? 귀하께서 120 다산콜을 통해 제기하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 '구청사 1층 다회용기 수거함 안내 오류 시정'에 관한 것으로 판단됩니다. 귀하의 민원내용에 대해 검토한 의견은 다음과 같습니다. 중구청 1층 제로카페에 설치된 다회용기 수거함을 관리하는 ㈜더그리트에서 ‘해피해빗 다회용 컵’ 반납 및 보증금 환불 관련 사항을 중구청 및 제로카페 측에 사전에 통보하지 않아, 귀하께 정확한 안내를 드리지 못한 점에 대해 안타깝게 생각합니다. 귀하의 민원 제기 이후 ㈜더그리트에 확인한 결과, SK텔레콤이 서울시, 행복커넥트 등 20여 개 기관·기업과 협력하여 운영하던 다회용 컵 순환 시스템 ‘해피해빗’ 사업이 2025년 5월 종료됨에 따라, 5월 27일부터 중구청에 설치된 ‘더그리트 다회용기 수거함’을 통해 ‘해피해빗 다회용 컵’의 반납 및 보증금 환불이 가능함을 확인하였습니다. 이에 따라, 2025년 7월 1일 ㈜더그리트에서는 중구청 내 다회용기 수거함 2대에 ‘해피해빗’ 및 ‘더그리트’ 컵의 반납이 가능하다는 안내문을 부착하였으며, 우리 구에서도 해당 내용을 120 다산콜센터에 전달하여 시민들께 정확한 정보가 제공될 수 있도록 조치하였습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 중구 복지환경국 청소행정과(☎ 02-3396-5466)에게 연락주시면 친절하게 설명하여 드리도록 하겠습니다."
5,"임대차가 종료되었으나, 보증금을 반환 받지 못하고 있어 이에 대한 조치 방안","안녕하십니까? 귀하께서는 응답소(민원상담)를 통해 민원으로 임대차가 종료되었으나, 보증금을 반환 받지 못하고 있어 이에 대한 조치 방안을 문의하셨습니다. 이에 대하여 답변드리겠습니다. 먼저 보증금을 반환 받지 못하여 큰 어려움을 겪고 계시는점에 대해 위로의 말씀을 드립니다. 임차인이 임대차계약 만기 2개월 전까지 갱신거절(이사 간다는 뜻)의 통지를 임대인에게 하였다면 만기에 임대차계약이 종료되고, 묵시적 갱신이 된 경우라면 임차인은 언제든지 계약 해지를 임대인에게 통지할 수 있고, 임대인이 통지를 받은 날로부터 3개월이 지나면 해지의 효력이 발생합니다. 임대차계약이 종료 또는 해지되었으나 보증금을 반환받지 못한 경우 임차권등기명령(주택임대차보호법 제6조의3)을 신청할 수 있고, 보증금 반환 청구 소송(주택임대차보호법 제13조)을 제기할 수 있습니다. 그리고 임차권등기명령 신청에 따른 임차권등기가 되기 전까지는 반드시 대항력(주택의 점유 및 주민등록)을 유지하여야 합니다. □ 질의1. 전세금 반환 지연 관련 법률 상담 (답변)「서울시 전·월세종합지원센터」에서 주택임대차 및 전세사기 등에 대한 변호사, 법무사 등 전문가로부터 상담 받으실 수 있습니다. <서울시 전·월세종합지원센터> ㅇ 상담시간: 평일 09:00 ~ 17:00, 화·목요일은 저녁 8시까지 상담 ※ 예약 없이 방문상담 가능(임대차계약서, 등기부 등본 등 참고자료 지참) ㅇ 연 락 처: ☎02-2133-1200~8 ㅇ 주    소: 서울시 중구 덕수궁길15, 서소문청사 1동 1층 ☞ 1·2호선 시청역 1번, 10번 출구에서 덕수궁 돌담길 쪽으로 직진 후 좌측 ※ 주차가 어려우니 대중교통을 이용하시기 바랍니다. □ 질의2. 전세사기피해자 관련 안내 (답변) 정부는 「전세사기피해자 지원 및 주거안정에 관한 특별법」을 제정하여 전세사기 피해자에게 경·공매 절차지원, 주거지원, 금융지원, 신용회복 등 지원을 하고 있습니다. 전세사기피해 신청요건, 절차, 각종 피해지원 및 피해자 신청은 전세사기피해자지원관리시스템(https://jeonse.kgeop.go.kr)을 참고하시기 바랍니다. ※ 서울시 전·월세종합지원센터에서 자세한 상담을 받으실 수 있습니다. □ 질의3. 주택임대차분쟁조정 신청 또는 소송제기 (답변) 보증금 반환에 대하여 당사자간 원만하게 합의되지 않을 경우 민사소송을 통하여 해결하여야 하는데, 그전에 서울시 주택임대차분쟁조정위원회에 조정을 신청해 볼 수 있습니다(서울시 전·월세종합지원센터에서 조정신청 접수). 그러나 분쟁조정제도는 당사자간의 합의를 조정하는 제도로써 상대방이 조정에 응하지 아니한다는 의사를 표시하면 조정 신청은“각하”되고, 또한‘조정안’을 수락하지 않을 경우 조정이 불성립되어 시간만 소요될 수 있습니다. 따라서 먼저 서울시 전·월세종합지원센터에서 전문가 상담을 받아 보시고, 분쟁조정신청 또는 소송(지급명령 포함)제기 등 법률적 판단을 하시는 것이 좋을 것으로 생각됩니다. 이와 관련 추가적인 문의사항이 있을 경우 우리 시 주택정책과(☎ 02- 2133-1598)로 연락주시면 친절하게 설명드리도록 하겠습니다."
6,기후동행카드(모바일카드) iOS 미지원기후동행카드(실물카드) 현금 충전 불편,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 가. 기후동행카드(모바일카드) iOS 미지원 나. 기후동행카드(실물카드) 현금 충전 불편에 관한 것으로 판단됩니다. 귀하의 질의사항에 대해 검토한 의견은 다음과 같습니다. 가. 현재 국내에서 iOS 기반 단말기(아이폰 등)는 교통카드 기능을 지원하지 않고 있습니다. 이는 단지 기후동행카드만의 문제가 아니라, 모든 종류의 국내 교통카드(모바일 티머니 등) 시스템 전반에 걸쳐 동일하게 적용되는 기술적 제한 사항입니다. 따라서 이는 서울시 단독으로 해결 가능한 사항이 아니며, 단말기 제조사를 비롯한 여러 관계기관과의 협의가 선행되어야 하는 사항임을 양해하여 주시기 바랍니다. 서울시에서는 향후 iOS 기반 단말기에서도 기후동행카드를 사용할 수 있는 방안에 대해 적극적으로 검토해나가겠습니다. 나. 기후동행카드(실물카드)를 충전할 수 있는 서울지역 내 1호선(서울역~청량리역), 2~9호선, 우이신설선, 신림선에는 카드 결제 단말기가 부착된 무인충전기가 1대씩 설치되어 있습니다. 해당 무인충전기를 통해 신용·체크카드로 기후동행카드 충전이 가능하나 간편결제 수단으로는 충전이 불가능함을 알려드립니다. 또한 무인충전기 설치 위치 또는 이용 동선에 따라 접근성이 떨어질 수 있는 점은 인지하고 있으며, 향후 카드 결제 가능한 무인충전기 수량 확대 및 안내 강화 등 운영 개선방안을 지속 검토해 나가겠습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 교통실 교통기획관 교통정책과(☎ 02-2133-2228)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
7,"6호선 마포구청역 3,4,5,6,7번 출입구 측 내부 에스컬레이터 설치 요청","안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 “6호선 마포구청역 3,4,5,6,7번 출입구 측 내부 에스컬레이터 설치 요청”에 관한 것으로 이해되며, 질의사항에 대한 검토 의견은 다음과 같습니다. 우리공사에서는 도시철도 편의시설확충에 대한 사회적 요구증대 및 교통약자(장애인, 임산부, 노약자 등)의 편리한 지하철 이용을 위해 설치 가능한 역을 대상으로 2008년부터 승강편의시설 확충사업을 단계별로 추진하고 있습니다. 질의하신 6호선 마포구청역 3,4,5,6,7번 출입구 측 내부(대합실B2↔승강장B3) 에스컬레이터 설치는 우리공사의 재정여건 악화로 사업비 확보의 어려움이 있어 서울시(마포구청) 예산을 지원받아 기본구상용역을 통해 설치가능여부를 검토해야 하며, 내부(대합실B1↔대합실B2) 에스컬레이터 설치는 2024년 설계용역(설치가능)이 완료되었고, 서울시 (마포구청)의 사업예산 확보 시 공사가 추진될 예정임을 알려드립니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 서울교통공사 기술본부 토목사업소(☎ 02-6110-5242)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
8,서남센터 체육시설 이용 관련,"안녕하십니까? 귀하께서 국민신문고(홈페이지, 120다산콜 등)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 “서남센터 체육시설 이용 관련”에 관한 것으로 이해됩니다. 귀하의 질의 사항에 검토한 의견은 다음과 같습니다. 가. 민원인께서 요청하신 서남센터 테니스장 폭염기간 이용 사항에 대해 다음과 같이 답변드립니다. 나. 서남센터 테니스장 8~10번 코트는 막구조물 형태로 햇빛은 일부 차단되나, 온열질환의 주요 위험 요인인 기온 및 습도 상승을 효과적으로 억제할 수 없는 구조입니다. 이에 따라 폭염특보 발효 시 또는 기상청 권고 기준을 반영하여, 안전을 최우선으로 13시부터 18시까지 운영중단 조치가 시행됨을 알려드립니다.다만, 전년도 운영 결과(2024년 기준 10시~18시 중단) 및 이용자 의견을 반영하여, 올해는 폭염 시간대를 일부 조정해 운영시간이 확대되었음을 알려드립니다. 다. 테니스장 예약 후 무단 미이용 사례에 대해서는 현재 이용료 환불이 불가하도록 페널티가 적용되고 있으며, 향후 반복적인 노쇼 방지를 위해 예약 제한 등 보다 강화된 제재 방안도 추가 검토해 나가겠습니다. 라. 서남센터 체육시설은 현재 국민권익위원회 사회제도개선과의 「공공체육시설 사용의 투명성 제고를 위한 제도개선 권고」에 따라, 모든 예약을 ‘서울시공공서비스예약’ 시스템을 통해 운영하고 있습니다. 민원인께서 요청하신 바와 같이 당일 잔여 코트를 현장 키오스크 등을 통해 즉시 예약하는 방식은 시설 활용도 제고에 도움이 될 수 있으나, 현재 시스템 구조상 잔여 시간대를 자동으로 개방하거나 현장 예약 기능을 지원하지 않기 때문에 즉각적인 반영이 어려운 점 양해 부탁드립니다. 마. 서울물재생시설공단 서남센터 체육시설은 시설 이용과 관련한 불편한 부분에 항상 공감하고 있습니다. 체육시설을 이용하면서 운영 규칙에 따라 이용객의 만족도를 최대한 높이고 발전할 수 있도록 항상 노력하겠습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 답변 내용에 대한 추가 설명이 필요한 경우 서울물재생시설공단 서남센터 운영관리팀으로 연락 주시면 친절히 안내해 드리도록 하겠습니다. 감사합니다."
9,서울시의 창업지원정책 및 창업지원시설 문의,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 '서울시의 창업지원정책 및 창업지원시설 문의'에 관한 것으로 판단 됩니다. 서울시 창업정책과에서는 기술기반 창업 활성화를 위해 창업공간 제공(8대 창업허브를 포함 22개소의 창업지원시설 운영), 성장지원 프로그램 운영(오픈이노베이션, 글로벌 진출 등), 서울 Vision 2030 펀드 등 벤처펀드 운영 등 다양한 창업지원 사업을 추진하고 있습니다. 이와 관련된 자세한 내용은 붙임 파일을 참고하시기 바라며, 시설들에 대한 정보는 서울시 ""스타트업플러스"" 홈페이지(https://www.startup-plus.kr/)에서 확인하실 수 있습니다. 지원 요건 및 지원 내용, 모집시기는 각 시설별로 상이하므로 세부적인 정보를 원하시는 경우 스타트업플러스 홈페이지 내 공고문을 확인하시거나 각 시설 연락처로 문의주시기 바랍니다. 아울러, 기술기반 창업이 아닌 자영업 관련 창업은 ""서울시 자영업지원센터"" 홈페이지(https://www.seoulsbdc.or.kr/main.do)에서 확인하실 수 있으며, 소기업, 소상공인 창업 및 자금 융자 등은 ""서울신용보증재단"" 홈페이지(https://www.seoulshinbo.co.kr/wbase)에서 운영하고 있으니 참고 부탁드립니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 경제실 경제일자리기획관 창업정책과(☎02-2133-4882)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다."
10,남산공원 내 물품보관소 설치요청,"안녕하십니까? 귀하께서 응답소(민원상담)를 통해 신청하신 민원에 대한 검토 결과를 다음과 같이 알려드립니다. 귀하의 민원내용은 남산공원 내 물품보관소 설치요청에 관한 것으로 판단 됩니다. 우선, 남산공원에 운동하러 나오셨는데 물품보관함을 못찾으셔서 불편하셨던 점 안타깝게 생각하며, 공원 이용에 관심을 가져주신 데 깊이 감사드립니다. 현재 남산공원 북측순환로변 목멱산방 앞에 물품보관함(전자식 물품보관함 20개 및 열쇠식 물품보관함 45개) 및 탈의실이 설치되어 무료로 이용하실 수 있으며, 운영시간은 매일 08:00~21:00까지입니다. 전자식 물품보관함은 비밀번호 입력하여 사용가능하나 열쇠식은 북측순환로 입구 초소에서 신분증을 맡긴 후 열쇠수령이 가능하니 이용에 참고하시기 바랍니다. 우리센터에서는 하반기에 중부공원여가센터내에 샤워실 및 물품보관함을 추가로 설치할 예정이오니 많은 이용바랍니다. 아울러, 북측순환로는 일반 산책인 및 시각장애인도 함께 이용하는 산책로이므로 안전한 러닝문화 정착을 위하여 그룹런의 경우 산책하는 시민에게 피해가 되지 않도록 협조하여 주시면 감사하겠습니다. 귀하의 질문에 만족스러운 답변이 되었기를 바라며, 추가적인 문의사항이 있으실 경우 서울특별시 중부공원여가센터 공원운영과(☎ 02-3783-5920)로 연락주시면 친절하게 설명하여 드리도록 하겠습니다. 감사합니다.  끝."
